login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
cornflourblue,cornflourblue/angular-14-basic-authentication-example,2022-12-27T05:41:49Z,10,10,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-crud-example,2022-12-21T06:50:49Z,6,6,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-dynamic-form-example,2022-12-23T03:49:24Z,0,0,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-facebook-login-example,2023-01-13T06:22:18Z,9,9,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-jwt-authentication-example,2022-11-15T00:16:15Z,17,17,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-jwt-refresh-tokens,2022-12-08T02:23:34Z,13,13,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-modal-popup-example,2023-01-03T07:16:11Z,4,4,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-paging-sorting-example,2022-12-13T07:01:47Z,4,4,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-reactive-forms-validation-example,2022-12-16T07:46:03Z,2,2,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-registration-login-example,2022-11-29T06:10:33Z,28,28,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-role-based-authorization-example,2022-12-22T06:12:45Z,11,11,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-template-driven-form-validation-example,2022-12-18T06:02:16Z,2,2,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-15-signup-verification-boilerplate,2023-04-20T04:05:00Z,13,13,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-16-tutorial,2023-05-11T04:03:36Z,40,40,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-6-basic-authentication-example,2018-09-06T09:49:31Z,26,26,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-6-communicating-between-components,2018-06-25T08:30:19Z,10,10,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-6-custom-modal,2018-05-24T08:35:55Z,28,28,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-6-jwt-authentication-example,2018-05-21T21:58:16Z,124,124,TypeScript,True,True,MIT License
0vm,0vm/0vm,2022-05-02T07:47:41Z,28,28,,True,True,
0vm,0vm/account-age-exploit,2023-08-05T09:04:17Z,22,22,,True,True,
0vm,0vm/BasicC2,2023-07-22T07:35:45Z,32,32,Python,True,True,MIT License
0vm,0vm/github-activity-generator,2023-08-05T07:08:20Z,25,25,Python,True,True,Apache License 2.0
0vm,0vm/Pinger,2022-06-09T15:01:50Z,21,21,C#,True,True,
0vm,0vm/RAM-Limiter,2022-06-10T03:05:07Z,104,104,C#,True,True,
0vm,0vm/SendIt-Spammer,2022-09-14T07:53:48Z,11,11,Python,True,True,
0vm,0vm/Simple-HWID-Checker,2023-07-15T07:35:17Z,32,32,C++,True,True,MIT License
0vm,0vm/twitch-username-checker,2023-07-09T01:19:24Z,13,13,JavaScript,True,True,MIT License
0vm,0vm/workers-http-auth,2023-08-02T09:43:59Z,12,12,JavaScript,True,True,
davecheney,davecheney/8cc,2014-06-05T06:07:38Z,2,2,C,True,True,Other
davecheney,davecheney/a,2013-01-14T23:15:26Z,1,1,Go,True,True,
davecheney,davecheney/affinity,2014-01-06T23:05:54Z,3,3,Go,True,True,GNU Affero General Public License v3.0
davecheney,davecheney/afp,2011-12-03T11:52:33Z,13,13,Go,True,True,
davecheney,davecheney/arduino6502,2017-04-08T10:05:58Z,15,15,C,False,True,"BSD 2-Clause ""Simplified"" License"
davecheney,davecheney/august-go-in-action-draw,2012-08-14T04:38:14Z,2,2,Go,True,True,
davecheney,davecheney/autobench,2013-03-28T11:17:01Z,99,99,Go,True,True,
davecheney,davecheney/avr11,2014-01-10T09:32:43Z,59,59,C++,True,True,Do What The F*ck You Want To Public License
davecheney,davecheney/badidea,2020-02-16T00:08:33Z,29,29,Go,True,True,"BSD 2-Clause ""Simplified"" License"
davecheney,davecheney/benandjerry,2014-06-26T23:15:30Z,5,5,Go,True,True,
davecheney,davecheney/benchall,2017-10-01T03:01:17Z,6,6,Go,True,True,
davecheney,davecheney/benchgogs,2016-03-31T23:38:59Z,2,2,Go,True,True,
davecheney,davecheney/benchjuju,2016-03-07T22:34:39Z,7,7,Go,True,True,
davecheney,davecheney/benchkube,2016-03-08T07:26:18Z,1,1,Go,True,True,
davecheney,davecheney/benchmark,2010-01-29T05:59:15Z,3,3,Java,True,True,
davecheney,davecheney/bfk,2013-07-18T05:00:08Z,1,1,Go,True,True,
davecheney,davecheney/buspirate,2014-08-27T10:45:29Z,4,4,Go,True,True,"BSD 2-Clause ""Simplified"" License"
davecheney,davecheney/calendar,2010-01-13T09:33:41Z,5,5,Java,True,True,
davecheney,davecheney/canberra-gophers,2014-08-12T01:03:00Z,2,2,Go,True,True,
davecheney,davecheney/ccode,2013-09-07T01:55:31Z,31,31,Go,True,True,
davecheney,davecheney/cheney-base-pom,2010-01-14T09:34:29Z,2,2,,True,True,
davecheney,davecheney/cocktail,2010-04-18T04:59:37Z,3,3,Java,True,True,
davecheney,davecheney/code,2014-05-24T01:44:45Z,1,1,Go,True,True,
davecheney,davecheney/conflux,2014-01-06T23:05:40Z,3,3,Go,True,True,GNU General Public License v3.0
davecheney,davecheney/contour,2017-10-31T06:22:59Z,3,3,Go,True,True,Apache License 2.0
davecheney,davecheney/copilot-docs,2022-06-03T02:36:14Z,6,6,,True,False,Creative Commons Attribution 4.0 International
davecheney,davecheney/cpp11,2014-09-02T11:19:42Z,22,22,C++,True,True,
davecheney,davecheney/crawl-e,2013-08-03T12:42:37Z,4,4,Go,True,True,
davecheney,davecheney/dbus,2012-07-15T04:35:42Z,4,4,Go,True,True,MIT License
davecheney,davecheney/dbus-old,2012-05-13T01:02:09Z,5,5,Go,True,True,
JedWatson,JedWatson/6to5.github.io,2015-01-18T12:12:39Z,1,1,CSS,True,True,
JedWatson,JedWatson/aba,2015-09-07T05:21:04Z,4,4,JavaScript,True,True,MIT License
JedWatson,JedWatson/admin-ui-prototype,2014-06-23T08:41:22Z,2,2,CSS,True,True,
JedWatson,JedWatson/advanced-react-rerecord,2020-10-28T13:23:06Z,1,1,JavaScript,True,True,
JedWatson,JedWatson/alloyeditor-react-component,2016-02-04T14:32:41Z,0,0,JavaScript,True,True,MIT License
JedWatson,JedWatson/aphrodite,2016-06-17T04:51:25Z,0,0,JavaScript,True,True,
JedWatson,JedWatson/app,2017-03-04T06:56:03Z,0,0,JavaScript,True,True,
JedWatson,JedWatson/asyncdi,2015-03-08T11:25:12Z,9,9,JavaScript,True,True,MIT License
JedWatson,JedWatson/awesome-react,2014-10-28T16:02:17Z,8,8,,True,True,
JedWatson,JedWatson/babel-plugin-example,2015-04-08T14:46:45Z,5,5,JavaScript,True,True,
JedWatson,JedWatson/blacklist,2015-03-27T04:04:59Z,1,1,JavaScript,True,True,MIT License
JedWatson,JedWatson/block-timer,2014-06-12T06:59:37Z,8,8,JavaScript,True,True,MIT License
JedWatson,JedWatson/builder-autoprefixer,2014-06-17T13:56:18Z,2,2,JavaScript,True,False,
JedWatson,JedWatson/bytes.js,2015-04-23T12:45:24Z,0,0,JavaScript,True,True,MIT License
JedWatson,JedWatson/campjs,2014-04-14T14:32:06Z,1,1,CSS,True,True,
JedWatson,JedWatson/campjs-v,2015-05-18T04:59:24Z,1,1,HTML,True,True,
JedWatson,JedWatson/cfp-2015,2015-02-11T11:54:34Z,0,0,,True,True,
JedWatson,JedWatson/classnames,2014-11-05T00:44:31Z,17590,17590,JavaScript,True,True,MIT License
JedWatson,JedWatson/cloudinary_npm,2015-08-09T08:45:28Z,1,1,CoffeeScript,True,True,
JedWatson,JedWatson/editor-ui-playground,2023-05-18T02:02:38Z,1,1,TypeScript,True,True,
JedWatson,JedWatson/eslint,2015-03-30T05:03:23Z,1,1,JavaScript,True,False,Other
JedWatson,JedWatson/eslint.github.io,2015-03-30T05:00:04Z,1,1,JavaScript,True,True,MIT License
JedWatson,JedWatson/exenv,2015-04-14T01:34:06Z,233,233,JavaScript,True,True,Other
JedWatson,JedWatson/express-validator,2013-08-09T07:39:55Z,1,1,JavaScript,True,True,
JedWatson,JedWatson/express-workshop,2016-09-10T03:26:24Z,0,0,CSS,True,True,MIT License
JedWatson,JedWatson/express-workshop-complete,2016-11-18T12:41:16Z,0,0,CSS,True,True,
JedWatson,JedWatson/expressjs.com,2016-07-01T15:24:55Z,0,0,HTML,True,True,
JedWatson,JedWatson/field-marshal,2013-09-25T13:10:23Z,0,0,CoffeeScript,True,True,
JedWatson,JedWatson/flow-typed,2017-11-21T04:57:39Z,1,1,JavaScript,True,True,MIT License
JedWatson,JedWatson/generator-react-component,2014-11-22T06:43:44Z,220,220,JavaScript,True,True,MIT License
dragen1860,dragen1860/996.ICU,2019-04-03T00:50:09Z,1,1,Rust,True,True,Other
dragen1860,dragen1860/ACAI,2018-10-23T12:33:41Z,0,0,Python,True,True,Apache License 2.0
dragen1860,dragen1860/aeml,2018-10-16T11:20:19Z,0,0,Python,True,True,
dragen1860,dragen1860/AutoPyTorch,2018-12-18T04:30:13Z,2,2,,True,True,
dragen1860,dragen1860/awesome-AutoML,2018-12-17T07:44:09Z,90,90,,True,True,
dragen1860,dragen1860/awesome-causal-reasoning,2018-11-02T01:52:44Z,15,15,,True,True,
dragen1860,dragen1860/Awesome-Graph-Neural-Networks,2019-04-22T01:34:20Z,10,10,,True,True,
dragen1860,dragen1860/awesome-meta-learning,2018-10-15T09:04:19Z,554,554,,True,True,
dragen1860,dragen1860/CACTU,2018-10-15T06:32:34Z,2,2,Python,True,True,MIT License
dragen1860,dragen1860/CapsNet-Pytorch,2017-11-02T09:48:15Z,45,45,Python,True,True,
dragen1860,dragen1860/Casual-Reasoning-Papers,2018-03-29T06:02:52Z,4,4,,True,True,MIT License
dragen1860,dragen1860/Coarse_ImageNet_Labels,2020-05-13T02:26:52Z,2,2,,True,True,
dragen1860,dragen1860/CodeEpisode,2015-11-10T07:56:52Z,0,0,Python,True,True,
dragen1860,dragen1860/CVE-2022-38694_unlock_bootloader,2024-06-27T02:19:11Z,0,0,,True,True,
dragen1860,dragen1860/DARTS-PyTorch,2018-12-20T12:17:07Z,82,82,Python,True,True,
dragen1860,dragen1860/Deep-Learning-with-PyTorch-book,2020-04-04T02:08:47Z,131,131,,True,True,
dragen1860,dragen1860/Deep-Learning-with-PyTorch-Tutorials,2018-11-26T04:21:46Z,2834,2834,Python,True,True,
dragen1860,dragen1860/Deep-Learning-with-TensorFlow-book,2019-06-16T05:53:27Z,13195,13195,Jupyter Notebook,True,True,
dragen1860,dragen1860/DeepEmbeddingModel_ZSL-Pytorch,2018-02-07T09:10:03Z,60,60,Python,True,True,
dragen1860,dragen1860/DenoisingDiffusionProbabilityModel-cifar,2023-02-28T07:50:16Z,0,0,,True,True,MIT License
dragen1860,dragen1860/DLUtils,2019-01-28T01:11:42Z,1,1,Python,True,True,
dragen1860,dragen1860/dragen1860.github.io,2016-03-07T08:12:14Z,4,4,HTML,True,True,
dragen1860,dragen1860/DRL-tutorial,2017-12-07T07:06:56Z,5,5,Python,True,True,
dragen1860,dragen1860/FaceScore,2015-11-07T14:47:18Z,2,2,C++,True,True,
dragen1860,dragen1860/FaceShifter,2020-05-14T06:49:01Z,0,0,,True,True,
dragen1860,dragen1860/FAUL,2018-11-02T11:38:05Z,0,0,Python,True,True,
dragen1860,dragen1860/FAUL2,2018-11-06T11:56:30Z,0,0,Python,True,True,
dragen1860,dragen1860/GAN,2018-02-18T12:28:40Z,5,5,Python,True,True,
dragen1860,dragen1860/gbn,2019-06-03T05:56:09Z,0,0,,True,True,
dragen1860,dragen1860/GCN-PyTorch,2019-04-30T07:10:56Z,388,388,Python,True,True,
thombergs,thombergs/accessible-forms-example,2013-07-23T20:23:47Z,4,4,,True,True,
thombergs,thombergs/airline,2013-10-09T18:02:22Z,1,1,Java,True,True,Apache License 2.0
thombergs,thombergs/angular,2014-06-29T11:28:52Z,0,0,,True,True,Apache License 2.0
thombergs,thombergs/anki-drive-java,2017-04-03T14:54:22Z,0,0,Java,True,True,MIT License
thombergs,thombergs/architecture_decision_record,2020-05-03T10:50:06Z,1,1,,True,True,
thombergs,thombergs/articles,2021-06-26T01:25:19Z,0,0,,True,True,
thombergs,thombergs/aws-cloudformation-fargate,2020-04-19T21:36:45Z,0,0,,True,True,Apache License 2.0
thombergs,thombergs/blogs,2013-12-07T13:42:50Z,0,0,JavaScript,True,False,
thombergs,thombergs/boxtime-cli,2022-12-24T03:26:04Z,7,7,Kotlin,True,True,
thombergs,thombergs/buckpal,2019-05-08T21:29:43Z,2184,2184,Java,True,True,
thombergs,thombergs/cdc-workshop,2018-03-15T19:06:28Z,8,8,Java,True,True,
thombergs,thombergs/checkstyle,2017-01-16T22:15:07Z,0,0,Java,True,True,GNU Lesser General Public License v2.1
thombergs,thombergs/checkstyle-playground,2016-07-05T19:15:05Z,0,0,Java,True,True,
thombergs,thombergs/clean-timetracker,2018-10-09T19:08:43Z,58,58,Java,True,True,
thombergs,thombergs/client_java,2018-06-15T14:18:56Z,1,1,Java,True,True,Apache License 2.0
thombergs,thombergs/code-examples,2017-07-30T14:12:24Z,2644,2644,Java,True,True,MIT License
thombergs,thombergs/coderadar,2017-01-21T20:04:56Z,1,1,Java,True,True,MIT License
thombergs,thombergs/components-example,2023-04-14T00:07:59Z,45,45,Kotlin,True,True,
thombergs,thombergs/core,2016-01-22T09:22:22Z,0,0,JavaScript,True,True,
thombergs,thombergs/ddd-video-club,2023-10-16T19:58:39Z,1,1,,True,True,GNU Affero General Public License v3.0
thombergs,thombergs/deletion-test,2022-04-05T05:31:23Z,0,0,,True,True,
thombergs,thombergs/deployments-test,2022-04-05T05:43:34Z,1,1,,True,True,
thombergs,thombergs/descriptive-logger,2018-07-25T06:23:03Z,11,11,Java,True,True,MIT License
thombergs,thombergs/devblog,2017-09-06T18:19:37Z,0,0,JavaScript,True,True,MIT License
thombergs,thombergs/diffparser,2013-10-23T20:29:53Z,72,72,Java,True,True,Apache License 2.0
thombergs,thombergs/docker-cups,2018-05-28T13:22:08Z,0,0,Shell,True,False,GNU General Public License v3.0
thombergs,thombergs/docx-stamper,2015-12-24T21:02:22Z,213,213,Java,True,True,MIT License
thombergs,thombergs/eureka-prometheus-bridge,2018-01-12T09:55:05Z,0,0,Kotlin,True,True,MIT License
thombergs,thombergs/fortune-cookie-shop,2017-05-12T19:32:43Z,8,8,Java,True,True,
thombergs,thombergs/gitective,2015-10-17T20:42:56Z,0,0,Java,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/bezier-easing,2024-08-31T12:22:16Z,1,1,JavaScript,True,True,MIT License
DmitryBaranovskiy,DmitryBaranovskiy/brackets,2014-08-05T02:00:04Z,2,2,JavaScript,True,True,MIT License
DmitryBaranovskiy,DmitryBaranovskiy/campjs-v,2015-05-20T06:44:06Z,0,0,HTML,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/elemental,2010-07-26T06:01:42Z,14,14,JavaScript,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/g.raphael,2009-06-18T06:35:16Z,1514,1514,JavaScript,True,False,
DmitryBaranovskiy,DmitryBaranovskiy/leonardo,2020-03-04T04:26:34Z,0,0,JavaScript,True,True,Apache License 2.0
DmitryBaranovskiy,DmitryBaranovskiy/optimus,2009-05-23T00:08:42Z,53,53,,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/prefixfree,2012-05-18T03:59:21Z,7,7,JavaScript,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/prism,2012-08-30T07:26:12Z,2,2,JavaScript,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/raphael,2008-09-02T05:34:33Z,11269,11269,JavaScript,True,False,MIT License
DmitryBaranovskiy,DmitryBaranovskiy/raphaeljs.com,2011-09-22T05:27:45Z,71,71,JavaScript,True,False,MIT License
DmitryBaranovskiy,DmitryBaranovskiy/rappar,2011-11-18T05:24:20Z,82,82,JavaScript,True,True,
DmitryBaranovskiy,DmitryBaranovskiy/svgObjectModelGenerator,2014-12-08T00:43:18Z,1,1,JavaScript,True,True,Apache License 2.0
DmitryBaranovskiy,DmitryBaranovskiy/wdc14presentation,2014-05-07T08:46:24Z,5,5,JavaScript,True,True,
redguardtoo,redguardtoo/Asus-N53-PCU-RT5592STA-Driver-for-Linux-Kernel-4.6-Ubuntu-16.10,2017-09-23T05:31:22Z,1,1,C,True,True,
redguardtoo,redguardtoo/asus-pce-n53-11n-n600,2016-02-20T14:07:58Z,0,0,C,True,True,
redguardtoo,redguardtoo/AX88772C_Source,2017-09-23T05:36:21Z,4,4,C,True,True,
redguardtoo,redguardtoo/cliphist,2015-10-09T13:04:17Z,75,75,Emacs Lisp,True,True,
redguardtoo,redguardtoo/company-ctags,2019-09-26T12:39:09Z,58,58,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/company-mode,2019-03-02T13:52:00Z,0,0,Emacs Lisp,True,True,
redguardtoo,redguardtoo/counsel-bbdb,2016-11-05T09:40:03Z,9,9,Emacs Lisp,True,True,
redguardtoo,redguardtoo/counsel-ctags,2024-05-18T14:48:41Z,2,2,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/counsel-etags,2017-10-15T00:51:09Z,174,174,Emacs Lisp,True,True,
redguardtoo,redguardtoo/cpputils-cmake,2012-11-26T15:07:10Z,194,194,Emacs Lisp,True,True,
redguardtoo,redguardtoo/dianyou,2019-04-24T11:31:44Z,12,12,Emacs Lisp,True,True,
redguardtoo,redguardtoo/diff-lisp,2021-08-15T09:07:26Z,6,6,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/eacl,2017-08-05T13:47:09Z,98,98,Emacs Lisp,True,True,
redguardtoo,redguardtoo/elpa-mirror,2014-02-21T00:14:32Z,315,315,Emacs Lisp,True,True,
redguardtoo,redguardtoo/emacs-git-gutter,2017-03-30T04:06:56Z,3,3,Emacs Lisp,True,True,
redguardtoo,redguardtoo/Emacs-langtool,2019-06-03T04:43:38Z,5,5,Emacs Lisp,True,True,
redguardtoo,redguardtoo/emacs.d,2011-08-31T13:13:49Z,2415,2415,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/evil,2019-06-16T23:38:24Z,0,0,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/evil-mark-replace,2015-03-11T04:47:43Z,9,9,Emacs Lisp,True,True,
redguardtoo,redguardtoo/evil-matchit,2013-10-14T13:10:26Z,290,290,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/evil-nerd-commenter,2013-01-07T07:32:38Z,391,391,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/fastdef,2016-05-16T00:00:41Z,6,6,Emacs Lisp,True,True,
redguardtoo,redguardtoo/find-and-ctags,2015-03-01T05:02:58Z,5,5,Emacs Lisp,True,True,
redguardtoo,redguardtoo/find-by-pinyin-dired,2015-01-27T13:16:28Z,18,18,Emacs Lisp,True,True,
redguardtoo,redguardtoo/find-file-in-project,2009-01-12T21:19:19Z,428,428,Emacs Lisp,True,True,GNU General Public License v3.0
redguardtoo,redguardtoo/git,2018-07-20T07:39:56Z,1,1,C,True,False,Other
redguardtoo,redguardtoo/gmail2bbdb,2014-08-07T15:11:16Z,20,20,Emacs Lisp,True,True,
redguardtoo,redguardtoo/helloworld,2021-03-16T10:49:32Z,1,1,C,True,True,
redguardtoo,redguardtoo/highlight.js,2021-04-13T10:16:54Z,0,0,JavaScript,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
redguardtoo,redguardtoo/imenu-extra,2020-12-01T08:26:09Z,15,15,Emacs Lisp,True,True,GNU General Public License v3.0
